Category,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeTotal,OF
r_15_30_30_30,base,All VI,310.721,308.397,0.007,48.854,276.036
r_15_30_30_30,base,No VI,306.995,304.559,0.008,27.356,267.648
r_15_30_30_30,base,VI1,306.995,304.74,0.007,23.303,267.649
r_15_30_30_30,base,VI1+VI4,306.995,304.841,0.007,14.885,267.648
r_15_30_30_30,base,VI2,306.995,304.559,0.008,26.467,267.648
r_15_30_30_30,base,VI2+VI4,306.995,304.751,0.007,17.81,267.649
r_15_30_30_30,base,VI3,306.995,304.471,0.008,25.437,267.649
r_15_30_30_30,base,VI3+VI4,310.721,308.176,0.008,41.249,276.036
r_15_30_30_30,base,VI4,306.995,304.751,0.007,17.769,267.649
r_15_30_30_30,ils,base,309.678,297.997,0.038,29.353,279.826
r_15_30_30_30,lns,base,308.984,299.38,0.031,23.329,279.826
r_15_30_30_70,base,All VI,316.507,313.968,0.008,38.905,276.036
r_15_30_30_70,base,No VI,306.995,304.485,0.008,24.811,267.649
r_15_30_30_70,base,VI1,310.466,307.709,0.009,20.032,269.396
r_15_30_30_70,base,VI1+VI4,310.466,308.194,0.007,14.858,269.396
r_15_30_30_70,base,VI2,306.995,304.485,0.008,24.63,267.649
r_15_30_30_70,base,VI2+VI4,306.995,304.798,0.007,14.799,267.649
r_15_30_30_70,base,VI3,306.995,304.735,0.007,22.915,267.649
r_15_30_30_70,base,VI3+VI4,313.775,311.04,0.009,59.85,276.036
r_15_30_30_70,base,VI4,306.995,304.798,0.007,14.887,267.649
r_15_30_30_70,ils,base,307.098,293.282,0.045,26.108,267.649
r_15_30_30_70,lns,base,306.995,300.508,0.021,22.37,267.649
r_15_70_30_30,base,All VI,449.847,446.341,0.008,160.444,390.717
r_15_70_30_30,base,No VI,439.852,436.211,0.008,120.256,387.637
r_15_70_30_30,base,VI1,440.838,435.519,0.012,145.181,387.637
r_15_70_30_30,base,VI1+VI4,440.838,437.424,0.008,108.974,387.637
r_15_70_30_30,base,VI2,439.852,436.211,0.008,121.732,387.637
r_15_70_30_30,base,VI2+VI4,439.852,436.516,0.008,88.106,387.637
r_15_70_30_30,base,VI3,439.852,434.853,0.012,140.346,387.637
r_15_70_30_30,base,VI3+VI4,449.847,445.414,0.01,162.699,390.717
r_15_70_30_30,base,VI4,439.852,436.516,0.008,89.821,387.637
r_15_70_30_30,ils,base,444.567,406.93,0.082,44.211,388.054
r_15_70_30_30,lns,base,441.268,431.446,0.021,63.015,387.637
r_15_70_30_70,base,All VI,456.061,453.277,0.006,62.988,399.065
r_15_70_30_70,base,No VI,439.852,435.091,0.011,131.836,387.637
r_15_70_30_70,base,VI1,441.66,439.238,0.006,62.646,387.637
r_15_70_30_70,base,VI1+VI4,441.66,439.538,0.005,37.317,387.637
r_15_70_30_70,base,VI2,439.852,435.096,0.011,132.878,387.637
r_15_70_30_70,base,VI2+VI4,439.852,436.352,0.008,105.819,387.637
r_15_70_30_70,base,VI3,439.852,436.335,0.008,121.83,387.637
r_15_70_30_70,base,VI3+VI4,454.765,449.443,0.012,162.136,393.269
r_15_70_30_70,base,VI4,439.852,436.352,0.008,105.153,387.637
r_15_70_30_70,ils,base,442.53,419.83,0.052,44.124,387.874
r_15_70_30_70,lns,base,440.499,424.504,0.035,47.583,387.874
r_25_70_30_1,base,All VI,792.381,595.965,0.248,600.33,792.381
r_25_70_30_1,base,No VI,821.366,526.265,0.359,600.353,821.366
r_25_70_30_1,base,VI1,806.519,552.449,0.315,600.432,806.519
r_25_70_30_1,base,VI1+VI4,830.613,554.797,0.332,600.257,830.613
r_25_70_30_1,base,VI2,792.382,550.794,0.305,600.354,792.382
r_25_70_30_1,base,VI2+VI4,804.296,548.904,0.318,600.284,804.296
r_25_70_30_1,base,VI3,792.366,530.033,0.331,600.299,792.366
r_25_70_30_1,base,VI3+VI4,800.374,530.906,0.337,600.277,800.374
r_25_70_30_1,base,VI4,795.609,536.795,0.325,600.319,795.609
r_25_70_30_1,ils,base,879.736,879.736,0.0,160.24,879.736
r_25_70_30_1,lns,base,825.849,801.501,0.029,179.871,825.849
r_25_70_30_70,base,All VI,769.674,564.184,0.267,689.697,676.584
r_25_70_30_70,base,No VI,757.011,555.814,0.265,600.428,682.177
r_25_70_30_70,base,VI1,758.785,566.114,0.254,600.346,688.707
r_25_70_30_70,base,VI1+VI4,772.17,562.385,0.27,656.382,664.639
r_25_70_30_70,base,VI2,758.323,554.16,0.269,600.508,688.048
r_25_70_30_70,base,VI2+VI4,754.242,558.81,0.259,635.546,656.536
r_25_70_30_70,base,VI3,762.223,555.448,0.271,707.509,699.323
r_25_70_30_70,base,VI3+VI4,789.847,552.828,0.301,636.586,728.666
r_25_70_30_70,base,VI4,752.262,559.574,0.256,681.045,655.832
r_25_70_30_70,ils,base,780.888,639.258,0.178,1240.033,698.91
r_25_70_30_70,lns,base,755.08,725.512,0.04,1792.558,682.733
r_25_70_30_70_6navi,base,All VI,711.975,485.025,0.318,821.564,641.361
r_25_70_30_70_6navi,base,No VI,707.784,460.312,0.35,796.349,677.397
r_25_70_30_70_6navi,base,VI1,715.435,480.317,0.329,687.063,635.357
r_25_70_30_70_6navi,base,VI1+VI4,714.581,468.42,0.344,827.894,631.795
r_25_70_30_70_6navi,base,VI2,716.882,462.254,0.354,930.833,656.798
r_25_70_30_70_6navi,base,VI2+VI4,803.404,447.916,0.388,902.577,616.798
r_25_70_30_70_6navi,base,VI3,728.4,436.802,0.397,970.879,660.524
r_25_70_30_70_6navi,base,VI3+VI4,713.875,459.642,0.356,799.481,635.941
r_25_70_30_70_6navi,base,VI4,716.911,468.351,0.345,1010.577,644.243
r_25_70_30_70_6navi,ils,base,859.722,760.402,0.127,1179.989,674.756
r_25_70_30_70_6navi,lns,base,714.065,661.594,0.074,865.116,653.057
r_35_70_30_70_6navi,base,All VI,424.919,308.616,0.274,600.682,424.919
r_35_70_30_70_6navi,base,No VI,439.58,301.49,0.314,600.63,439.58
r_35_70_30_70_6navi,base,VI1,437.963,304.555,0.305,600.644,437.963
r_35_70_30_70_6navi,base,VI1+VI4,501.5,292.177,0.417,1177.117,501.5
r_35_70_30_70_6navi,base,VI2,439.58,301.215,0.315,600.686,439.58
r_35_70_30_70_6navi,base,VI2+VI4,431.229,307.653,0.287,600.689,431.229
r_35_70_30_70_6navi,base,VI3,451.042,299.044,0.337,600.663,451.042
r_35_70_30_70_6navi,base,VI3+VI4,428.394,300.39,0.299,600.65,428.394
r_35_70_30_70_6navi,base,VI4,433.821,306.949,0.292,787.912,433.821
r_35_70_30_70_6navi,ils,base,465.084,449.406,0.034,317.789,465.084
r_35_70_30_70_6navi,lns,base,452.519,428.886,0.052,141.671,452.519
