Category,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeTotal
r_15_30_30_30,base,All VI,310.7210801314807,308.39727103444704,0.00743575821733775,48.853887510299685
r_15_30_30_30,base,No VI,306.9954721433989,304.5588458549361,0.00792939137497356,27.35572600364685
r_15_30_30_30,base,VI1,306.9954723926329,304.7402850561794,0.0073718592675153195,23.303130197525025
r_15_30_30_30,base,VI1+VI4,306.99547094419995,304.8405575265002,0.00702998453164406,14.88534996509552
r_15_30_30_30,base,VI2,306.9954721433989,304.5588458549361,0.00792939137497356,26.466670751571655
r_15_30_30_30,base,VI2+VI4,306.99547239263296,304.75144216415856,0.00728982208077084,17.8101126909256
r_15_30_30_30,base,VI3,306.9954717096724,304.47128796531695,0.008196495280539621,25.437019395828248
r_15_30_30_30,base,VI3+VI4,310.7210780605302,308.1756591436042,0.008177441745737679,41.24886341094971
r_15_30_30_30,base,VI4,306.99547239263296,304.75144216415856,0.00728982208077084,17.76883029937744
r_15_30_30_30,ils,base,309.6783393271654,297.9968057115882,0.038164326587219,29.35271394252777
r_15_30_30_30,lns,base,308.9844645910699,299.37985629655344,0.03147102683085036,23.329082560539245


r_15_30_30_70,base,All VI,316.5069108145412,313.9676748845039,0.008016077648958269,38.90456328392029
r_15_30_30_70,base,No VI,306.99547208833104,304.485303392539,0.008162231220124449,24.811313652992247
r_15_30_30_70,base,VI1,310.46620949094165,307.7087941411422,0.00886480261118599,20.032419681549072
r_15_30_30_70,base,VI1+VI4,310.4662110560803,308.1944655225002,0.00729986446618452,14.85776309967041
r_15_30_30_70,base,VI2,306.99547208833104,304.485303392539,0.008162231220124449,24.629732489585876
r_15_30_30_70,base,VI2+VI4,306.99547239263296,304.79826330472355,0.00710041708715803,14.799389290809632
r_15_30_30_70,base,VI3,306.9954723926329,304.7348460755818,0.00735298658067377,22.915324091911316
r_15_30_30_70,base,VI3+VI4,313.77532422986735,311.0397471160603,0.00874148502537069,59.85016925334931
r_15_30_30_70,base,VI4,306.99547239263296,304.79826330472355,0.00710041708715803,14.887123131752015
r_15_30_30_70,ils,base,307.0983405659583,293.2823587570317,0.04479462235442971,26.10830237865448
r_15_30_30_70,lns,base,306.9954723926329,300.5083346288519,0.02098341184563387,22.370112085342406


r_15_70_30_30,base,All VI,449.8465705685139,446.3405935206077,0.00782584630550769,160.44420557022096
r_15_70_30_30,base,No VI,439.852117283088,436.2111863505711,0.0082922166728512,120.25588862895965
r_15_70_30_30,base,VI1,440.8382211686324,435.51883596884926,0.01218072849009274,145.18142774105073
r_15_70_30_30,base,VI1+VI4,440.83822309597724,437.4238097979238,0.007726182358991721,108.97373900413513
r_15_70_30_30,base,VI2,439.852117283088,436.2111863505711,0.0082922166728512,121.73209872245789
r_15_70_30_30,base,VI2+VI4,439.8521137374802,436.5162680847282,0.00761688152098375,88.1057029724121
r_15_70_30_30,base,VI3,439.8521164930544,434.85275255110884,0.01176451095694674,140.34587306976317
r_15_70_30_30,base,VI3+VI4,449.84656728566154,445.41429525884485,0.0100339462004568,162.69899549484253
r_15_70_30_30,base,VI4,439.8521137374802,436.5162680847282,0.00761688152098375,89.82054409980773
r_15_70_30_30,ils,base,444.56745060170954,406.9300484400017,0.08208916981638477,44.21095855236054
r_15_70_30_30,lns,base,441.2682424795209,431.44554241689974,0.02128808117757102,63.01481409072876


r_15_70_30_70,base,All VI,456.0610476735745,453.2766970506329,0.00613557993007133,62.98769292831421
r_15_70_30_70,base,No VI,439.85211375769705,435.09099393887453,0.010626761382289329,131.83554196357727
r_15_70_30_70,base,VI1,441.65986030505127,439.23843266735986,0.0055631708099777395,62.645644664764404
r_15_70_30_70,base,VI1+VI4,441.65986030505127,439.53847410490096,0.00469458585592474,37.317067217826846
r_15_70_30_70,base,VI2,439.85211375769705,435.09593558417856,0.01061631107084279,132.8778052330017
r_15_70_30_70,base,VI2+VI4,439.852117283088,436.3515909033481,0.00795178227095521,105.81913392543792
r_15_70_30_70,base,VI3,439.85211215361244,436.3345744074478,0.00805863424207888,121.82986738681794
r_15_70_30_70,base,VI3+VI4,454.7648182086294,449.44304762894933,0.01209656283858576,162.1359831571579
r_15_70_30_70,base,VI4,439.852117283088,436.3515909033481,0.00795178227095521,105.15281851291657
r_15_70_30_70,ils,base,442.52951367565555,419.8301039148652,0.05200770411378207,44.123812437057495
r_15_70_30_70,lns,base,440.49874110905273,424.50405624833667,0.03481168377265681,47.582578492164615


r_25_70_30_1,base,All VI,792.3814435963018,595.9652394188172,0.2478808732395728,600.3295629024506
r_25_70_30_1,base,No VI,821.3658429995525,526.2649958008052,0.3592806417674566,600.353147983551
r_25_70_30_1,base,VI1,806.5193754258637,552.4485534184225,0.3150213494539855,600.4320821762085
r_25_70_30_1,base,VI1+VI4,830.6132920229818,554.7974232164161,0.3320629123750337,600.2567501068115
r_25_70_30_1,base,VI2,792.3815412062327,550.7941247047763,0.3048877389719235,600.3539090156555
r_25_70_30_1,base,VI2+VI4,804.2956912865336,548.9043390935644,0.3175341543661024,600.2844851016998
r_25_70_30_1,base,VI3,792.3660837812192,530.0331661545478,0.3310753993593501,600.2985429763794
r_25_70_30_1,base,VI3+VI4,800.37387623088,530.9059466827462,0.3366775672603309,600.2771620750427
r_25_70_30_1,base,VI4,795.6094157146223,536.794975504583,0.3253033902038102,600.3185861110687
r_25_70_30_1,ils,base,879.7363781498931,879.7363781498931,0.0,160.23958921432495
r_25_70_30_1,lns,base,825.8486729507938,801.501284266082,0.029481658664798,179.8707411289215


r_25_70_30_70,base,All VI,769.6743123524394,564.1843930577372,0.2665686795143724,689.6967899799347
r_25_70_30_70,base,No VI,757.0108944967429,555.8142357724439,0.2653070092778217,600.4283051729202
r_25_70_30_70,base,VI1,758.784882389179,566.1141452249306,0.2536676721468468,600.3463381290436
r_25_70_30_70,base,VI1+VI4,772.1700860302597,562.3848566834365,0.2704228026578221,656.3823811769486
r_25_70_30_70,base,VI2,758.3233254509108,554.1596001804492,0.26871594902207874,600.5084745883942
r_25_70_30_70,base,VI2+VI4,754.2423882313137,558.810013859866,0.2592045177619967,635.5459731101989
r_25_70_30_70,base,VI3,762.2233184940685,555.4484710968159,0.2705925239268631,707.5087037324905
r_25_70_30_70,base,VI3+VI4,789.8465805401885,552.8278301969738,0.30072998850394245,636.5856653928756
r_25_70_30_70,base,VI4,752.2621271335233,559.5739666275347,0.25628025101422036,681.0450479030609
r_25_70_30_70,ils,base,780.8881502994398,639.2579974157312,0.17751246999560444,1240.033445239067
r_25_70_30_70,lns,base,755.0804025359051,725.5119734326832,0.03974300308346588,1792.5580124855042


r_25_70_30_70_6navi,base,All VI,711.9745808419387,485.0247825727227,0.318321865457867,821.5641666975888
r_25_70_30_70_6navi,base,No VI,707.7836669573495,460.31185408410454,0.34982480406250266,796.3489356040955
r_25_70_30_70_6navi,base,VI1,715.4349527597132,480.3168386237738,0.32949927706086135,687.0625350908799
r_25_70_30_70_6navi,base,VI1+VI4,714.5809458858995,468.42026053945887,0.3438314066821332,827.8938610770485
r_25_70_30_70_6navi,base,VI2,716.8817894823012,462.25360660632845,0.35416276420723236,930.8334941213781
r_25_70_30_70_6navi,base,VI2+VI4,803.4035629471583,447.91553509638993,0.38756533471133975,902.5774387229573
r_25_70_30_70_6navi,base,VI3,728.4003307120611,436.80240399798475,0.39653223788714304,970.8790645382621
r_25_70_30_70_6navi,base,VI3+VI4,713.8753108996573,459.6423353247643,0.35616520240469707,799.4810150103135
r_25_70_30_70_6navi,base,VI4,716.9113033259966,468.3512754948475,0.344772452991783,1010.5769345326858
r_25_70_30_70_6navi,ils,base,859.7224463455838,760.4017958815683,0.1268101568566702,1179.9894775694067
r_25_70_30_70_6navi,lns,base,714.0647537498652,661.5938821120558,0.07382394056493173,865.1155337420377


r_35_70_30_70_6navi,base,All VI,424.9189494961441,308.6163777288194,0.2737053075774397,600.6822867393494
r_35_70_30_70_6navi,base,No VI,439.580141508808,301.4902949706497,0.3141403204980573,600.6301410198212
r_35_70_30_70_6navi,base,VI1,437.9625537220301,304.5554142471486,0.304608552354806,600.6435260772705
r_35_70_30_70_6navi,base,VI1+VI4,501.50045999836544,292.17691144101036,0.4173945295245339,1177.1168920993805
r_35_70_30_70_6navi,base,VI2,439.580141508808,301.2151746191632,0.3147661912449527,600.686060667038
r_35_70_30_70_6navi,base,VI2+VI4,431.22899228326384,307.65264156889884,0.2865678164634874,600.6890249252319
r_35_70_30_70_6navi,base,VI3,451.0420575145593,299.0444546859079,0.3369920837675874,600.6633682250977
r_35_70_30_70_6navi,base,VI3+VI4,428.3935104969637,300.39014461771166,0.2987985642704064,600.6499621868134
r_35_70_30_70_6navi,base,VI4,433.8210122471603,306.9489703055046,0.2924525054341376,787.9117271900177
r_35_70_30_70_6navi,ils,base,465.08417791458226,449.4058545272787,0.033710721911901,317.78871297836304
r_35_70_30_70_6navi,lns,base,452.5190483186869,428.8858175301596,0.0522259358502927,141.67057991027832
