Instance,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeGurobi,Status,RuntimeTotal
r_50_70_30_70_6,base,No VI,777.7977606224025,536.4230731240875,0.3103309108336391,600.3490002155304,9,601.5254189968109
r_50_70_30_70_6,base,VI1,862.8806089492765,558.7419964348585,0.3524689387617198,600.1740000247955,9,603.5281040668488
r_50_70_30_70_6,base,VI2,889.1771404266617,537.7581980113663,0.3952181476985238,600.2860000133514,9,603.7641007900238
r_50_70_30_70_6,base,VI3,824.0554658592421,535.7846853489673,0.3498196328443681,600.2239999771118,9,602.1407895088196
r_50_70_30_70_6,base,VI4,830.5766705229082,551.9827842888045,0.3354222386943624,600.2669999599457,9,602.4103107452393
r_50_70_30_70_6,base,VI1+VI4,911.3246932365255,563.5991993690526,0.3815604871108481,600.2910001277924,9,603.0520792007446
r_50_70_30_70_6,base,VI2+VI4,801.7754102514725,531.4300500002214,0.33718340172899386,600.335000038147,9,602.2205772399902
r_50_70_30_70_6,base,VI3+VI4,893.8701087361495,535.5827490979879,0.40082709572283065,600.2620000839233,9,602.9690761566162
r_50_70_30_70_6,base,All VI,921.493533666848,561.0750336139554,0.39112428561348583,600.2170000076294,9,602.1805577278137
r_50_70_30_70_6,lns,base,941.4647914030963,933.1069224664649,0.00887751619917241,12.32200002670288,2,240.0054223537445
r_50_70_30_70_6,ils,base,1125.5711662792735,1119.4935392779894,0.005399593720381547,3.0169999599456787,2,198.89519453048706
